OBJECTID,date_arrested,time_arrested,address,offense_type,subject_race,subject_gender,agency,armainid,objectid_1,Year
1,2020/02/18,1409,100-BLK COXE AVE,DV PROTECTIVE ORDER VIOL (M),B,M,APD,568193,0,2020
110,2020/10/26,2245,100-BLK OAK ST,DRIVING WHILE IMPAIRED,B,M,APD,578869,109,2020
111,2020/09/23,2200,100-BLK LINCOLN AVE W,COMMUNICATING THREATS,B,M,APD,577011,110,2020
134,2021/08/16,34,100-BLK STEWART ST,ASSAULT ON A FEMALE,W,M,APD,595424,133,2021
160,2020/09/12,1841,100-BLK TUNNEL RD,COMMUNICATING THREATS,B,M,APD,576726,159,2020
161,2020/09/12,1841,100-BLK TUNNEL RD,INJURY TO REAL PROPERTY,B,M,APD,576726,160,2020
162,2020/09/12,1841,100-BLK TUNNEL RD,ASSAULT WITH A DEADLY WEAPON,B,M,APD,576726,161,2020
273,2020/10/14,2016,300-BLK AIRPORT RD,SECOND DEGREE TRESPASS,W,M,APD,578581,272,2020
299,2021/11/15,430,500-BLK BILTMORE AVE,PAROLE COMM.VIOLATION,B,M,APD,597894,298,2021
326,2020/02/28,1100,100-BLK N ANN ST,MISDEMEANOR LARCENY,I,M,APD,568664,325,2020
327,2020/01/14,357,500-BLK BILTMORE AVE,EXPIRED REGISTRATION CARD/TAG,I,M,APD,565755,326,2020
339,2021/04/01,1812,100-BLK SMOKEY PARK HWY,DWLR NOT IMPAIRED REV,B,M,APD,585693,338,2021
340,2021/04/01,1812,100-BLK SMOKEY PARK HWY,OPEN CONT AFTER CONS ALC 1ST,B,M,APD,585693,339,2021
359,2021/03/11,2030,100-BLK STEWART ST,ASSAULT ON A FEMALE,W,M,APD,584104,358,2021
454,2021/12/10,2117,100-BLK WHITE PINE DR,ASSAULT ON A FEMALE,B,M,APD,599606,453,2021
460,2021/08/16,34,100-BLK STEWART ST,INTERFERE EMERG COMMUNICATION,W,M,APD,595424,459,2021
520,2020/09/08,2040,700-BLK SWANNANOA RIVER RD,SHOPLIFTING CONCEALMENT GOODS,W,M,APD,576623,519,2020
631,2021/04/01,1812,100-BLK SMOKEY PARK HWY,RESISTING PUBLIC OFFICER,B,M,APD,585693,630,2021
659,2021/05/27,2348,1900-BLK HENDERSONVILLE RD,INTOXICATED AND DISRUPTIVE,W,M,APD,593148,658,2021
751,2021/06/29,9,100-BLK ASHELAND AVE,PAROLE COMM.VIOLATION,B,M,APD,594076,750,2021
752,2021/06/29,9,100-BLK ASHELAND AVE,FAIL REPRT NEW ADDRESS-SEX OFF,B,M,APD,594076,751,2021
757,2020/07/16,1421,1300-BLK PARKWOOD RD,SECOND DEGREE TRESPASS,W,M,APD,574188,756,2020
799,2020/06/06,2130,2000-BLK HENDERSONVILLE RD,MISDEMEANOR PROBATION VIOL,B,M,APD,573201,798,2020
826,2020/05/21,1406,700-BLK N BROADWAY ST,MISDEMEANOR CHILD ABUSE,W,M,APD,572810,825,2020
827,2020/06/02,1745,TRANSIT,ASSAULT AND BATTERY,W,F,APD,573077,826,2020
843,2020/06/21,38,500-BLK BILTMORE AVE,ASSAULT ON A FEMALE,B,M,APD,573545,842,2020
971,2021/06/16,1117,400-BLK MCDOWELL ST,LARC MERCHANT EXCH STOLEN PROP,B,M,APD,593700,970,2021
1041,2021/10/27,1250,200-BLK HILLIARD AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,597405,1040,2021
1104,2021/01/28,1949,700-BLK HAYWOOD RD,SECOND DEGREE TRESPASS,W,M,APD,581032,1103,2021
1105,2021/01/28,1949,700-BLK HAYWOOD RD,INTOXICATED AND DISRUPTIVE,W,M,APD,581032,1104,2021
1106,2020/04/10,1624,600-BLK HAYWOOD RD,INTOXICATED AND DISRUPTIVE,W,M,APD,569901,1105,2020
1147,2021/08/08,500,100-BLK HENDERSONVILLE RD,DAMAGE PROPERTY - FREE TEXT,W,M,APD,595226,1146,2021
